id;date;details;status;payment_method;payment_date;payment_amount
1;2020-11-04T20:11:06;RAM Focused;PAID;CASH_ON_DELIVERY;2020-11-05T04:33:13;64379
2;2020-11-04T17:01:12;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-11-04T22:11:30;17323
3;2020-11-04T21:28:37;Incredible Baby;CANCELLED;PAYPAL;2020-11-05T01:00:18;11017
4;2020-11-04T18:58:32;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-11-04T19:02:40;51438
5;2020-11-04T13:38:40;function;PAID;PAYPAL;2020-11-05T06:12:45;32278
6;2020-11-04T14:38:28;action-items;CANCELLED;CASH_ON_DELIVERY;2020-11-05T04:25:40;5232
7;2020-11-05T07:25:11;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-11-05T01:02:33;62169
8;2020-11-04T17:20:15;Toys;ISSUED;PAYPAL;2020-11-05T03:58:12;10756
9;2020-11-04T18:50:40;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-11-05T08:34:13;58055
10;2020-11-04T17:28:25;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-11-05T05:54:36;94075
