id;placed_date;status;code
1;2020-11-05T03:33:06;COMPLETED;Georgia calculate withdrawal
2;2020-11-04T14:29:36;COMPLETED;compress Steel out-of-the-box
3;2020-11-04T16:00:48;PENDING;Concrete
4;2020-11-05T05:26:43;CANCELLED;Investment Account
5;2020-11-04T16:43:33;PENDING;United States of America
6;2020-11-05T06:55:37;CANCELLED;IB Industrial Credit Card Account
7;2020-11-05T10:02:02;CANCELLED;Cotton Egyptian Pound
8;2020-11-04T18:58:06;COMPLETED;Home Loan Account
9;2020-11-05T03:52:22;COMPLETED;Human
10;2020-11-04T14:01:00;CANCELLED;payment
